Control,Family,Title,Category,K8s Mechanism,ITSP.10.033-01 status,Notes
AC-2,Access Control,Account management,Admin,"ServiceAccounts; OIDC to corporate IdP; RBAC RoleBindings",Selected,
AC-3,Access Control,Access enforcement,Admin,"RBAC (Roles, ClusterRoles); --authorization-mode=Node,RBAC",Selected,
AC-4,Access Control,Information flow enforcement,Admin,"NetworkPolicy; Gateway API; namespace boundaries",Selected,
AC-5,Access Control,Separation of duties,Admin,"Namespace partitioning + RBAC scoping",Selected,
AC-6,Access Control,Least privilege,Admin,"Fine-grained RBAC verbs; no wildcards; controlled system:masters",Selected,
AC-11,Access Control,Device lock,Admin,"Short OIDC token lifetimes via IdP; dashboard idle timeout",Selected,Titled Session lock under Annex 3A
AC-17,Access Control,Remote access,Admin,"kube-apiserver behind VPN or bastion; pair with SI-400 and AC-17(400)",Selected,
AU-2,Audit and Accountability,Event logging,Admin,"kube-apiserver audit policy file",Selected,
AU-3,Audit and Accountability,Content of audit records,Admin,"Audit policy; log or webhook backend",Selected,
AU-4,Audit and Accountability,Audit log storage capacity,Admin,"Log forwarding to external store; PV sizing",Selected,
AU-9,Audit and Accountability,Protection of audit information,Admin,"Read-only audit forwarding; separate audit credentials",Selected,
AU-12,Audit and Accountability,Audit record generation,Admin,"Audit policy rules with level RequestResponse for security-relevant resources; Metadata elsewhere",Selected,
CM-2,Configuration Management,Baseline configuration,Admin,"Declarative manifests under GitOps (Argo CD, Flux)",Selected,
CM-3,Configuration Management,Configuration change control,Admin,"PR review on infra repo; admission webhooks",Selected,
CM-6,Configuration Management,Configuration settings,Admin,"Pod Security Admission restricted profile; OPA Gatekeeper or Kyverno",Selected,
CM-7,Configuration Management,Least functionality,Admin,"Pod Security restricted; anonymous auth off; insecure ports off",Selected,
CM-8,Configuration Management,System component inventory,Admin,"API inventory; inventory CRDs; SBOMs attached to images and checked at admission",Selected,
IA-2,Identification and Authentication,Identification and authentication (organizational users),Admin,"OIDC to IdP enforcing MFA; short-lived tokens",Selected,
IA-3,Identification and Authentication,Device identification and authentication,Admin,"kubelet TLS bootstrap; CSR approval workflow",Selected,
IA-5,Identification and Authentication,Authenticator management,Admin,"Projected service-account tokens with audience and expiry; token rotation",Selected,
SC-2,System and Communications Protection,Separation of system and user functionality,Admin,"Namespaces; control-plane/data-plane separation",Selected,
SC-5,System and Communications Protection,Denial-of-service protection,Admin,"ResourceQuotas; LimitRanges; API Priority and Fairness",Selected,
SC-7,System and Communications Protection,Boundary protection,Admin,"NetworkPolicy default-deny; Ingress; egress gateway",Selected,
SC-8,System and Communications Protection,Transmission confidentiality and integrity,Admin,"TLS on kube-apiserver; etcd peer TLS; service-mesh mTLS",Selected,
