rule_id,rule_description,control_ids,evidence_note
disallow-capabilities,Containers add no Linux capabilities beyond the Pod Security baseline set,cm-6,
disallow-host-namespaces,"Pods do not share the host network, PID or IPC namespace",cm-6 cm-7,
disallow-host-path,Pods mount no hostPath volumes,cm-6 cm-7,
disallow-host-ports,Containers bind no host ports,cm-6 cm-7,
disallow-host-process,Windows pods do not run as HostProcess containers,cm-6,
disallow-privileged-containers,Containers do not run privileged,cm-6 cm-7,
disallow-proc-mount,Containers keep the default /proc mask,cm-6,
disallow-selinux,Containers set no custom SELinux user or role and only permitted types,cm-6,
restrict-apparmor-profiles,AppArmor profiles are runtime default or localhost only,cm-6,"Checks the AppArmor annotation only. The securityContext.appArmorProfile field (Kubernetes 1.30 and later) is not checked, so a pod can set an unconfined profile there and still pass; CM-6 evidence does not cover that field."
restrict-seccomp,Seccomp profiles are runtime default or localhost only,cm-6,
restrict-sysctls,Pods set only the safe sysctls,cm-6,
disallow-capabilities-strict,Containers drop ALL capabilities and add at most NET_BIND_SERVICE,cm-6 cm-7,
disallow-privilege-escalation,Containers set allowPrivilegeEscalation to false,cm-6,
require-run-as-non-root-user,Containers run with a non-zero user id,cm-6,
require-run-as-nonroot,Containers set runAsNonRoot to true,cm-6,
restrict-seccomp-strict,Seccomp profiles are set and are runtime default or localhost,cm-6,
restrict-volume-types,Pods use only the volume types the restricted profile allows,cm-6,
restrict-wildcard-verbs,Roles and ClusterRoles grant no wildcard verbs,ac-6,
restrict-binding-system-groups,Nothing is bound to system:anonymous or system:unauthenticated or system:masters,ac-6,
restrict-automount-sa-token,Pods do not mount a service-account token unless they declare it,ac-6 ia-5,
restrict-clusteradmin-subjects,cluster-admin is bound only to the group itsp:daw-admins,ac-17.400,"Evidences that only the designated administrator group holds cluster-admin. It cannot show where that group's identities connect from; the dedicated administration workstation itself (SI-400) needs configuration review."
require-requests-limits,Containers declare CPU and memory requests and a memory limit,sc-5,
disallow-default-namespace,Workloads are kept out of the default namespace,sc-2,
disallow-latest-tag,Images carry an explicit tag other than latest,cm-2,"Supporting evidence only: an image tagged latest leaves the baseline configuration undefined, but pinned tags alone do not make a baseline."
