id,label,family,title,source,cccs_type,status,statement,parameter_values,gc_discussion,profile_note
ac-1,AC-1,AC,Access control policy and procedures,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]
1. [Selection (1 or more): Organization-level; Mission/business process-level; System-level] access control policy that
   a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance
   b. is consistent with applicable laws, Orders in Council, jurisprudence, directives, regulations, policies, standards, and guidelines
2. procedures to facilitate the implementation of the access control policy and the associated access controls
   B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures
   C. Review and update the current access control
3. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
4. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",ac-01_odp.05 = at a frequency no longer than annually; ac-01_odp.07 = at a frequency no longer than annually,,
ac-2,AC-2,AC,Account management,NIST SP 800-53 Rev. 5.2.0,control,,"A. Define and document the types of accounts allowed and specifically prohibited for use within the system
B. Assign account managers and data custodians
C. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership
D. Specify
1. authorized users of the system
2. group and role membership
3. access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account
   E. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts
   F. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria]
   G. Monitor the use of accounts
   H. Notify account managers and [Assignment: organization-defined personnel or roles] within
4. [Assignment: organization-defined time period] when accounts are no longer required or are dormant
5. [Assignment: organization-defined time period] when users are terminated or transferred
6. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual
   I. Authorize access to the system based on
7. a valid access authorization
8. intended system usage
9. [Assignment: organization-defined attributes (as required)]
   J. Periodically review accounts for compliance with account management requirements [Assignment: organization-defined frequency]
   K. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group
   L. Align account management processes with personnel termination and transfer processes Discussion: Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls related to security and privacy. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission, or business owner, senior official in the department’s security governance, data custodian, or appropriate privacy senior official or executive. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts. Where access involves personal information, security and privacy officials collaborate with the data custodian to establish the specific conditions for group and role membership; identify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the 2. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability. Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.",ac-02_odp.10 = at a frequency no longer than monthly,,
ac-2.1,AC-2(1),AC,Automated system account management,NIST SP 800-53 Rev. 5.2.0,control,,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,,,
ac-2.2,AC-2(2),AC,Automated temporary and emergency accounts management,NIST SP 800-53 Rev. 5.2.0,control,,Automatically [Selection (1): remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,ac-02.02_odp.02 = not to exceed 48 hours after no longer being required,,
ac-2.3,AC-2(3),AC,Disable accounts,NIST SP 800-53 Rev. 5.2.0,control,,"Disable accounts within [Assignment: organization-defined time period] when the accounts
a. have expired
b. are no longer associated with a user or individual
c. are in violation of organizational policy
d. have been inactive for [Assignment: organization-defined time period]",ac-02.03_odp.01 = not to exceed 30 days (items a. and b.) | not to exceed 24 hours (item c.),,
ac-2.4,AC-2(4),AC,Automated audit actions,NIST SP 800-53 Rev. 5.2.0,control,,"Automatically audit account creation, modification, enabling, disabling, and removal actions.",,,
ac-2.5,AC-2(5),AC,Inactivity logout,NIST SP 800-53 Rev. 5.2.0,control,,Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].,,,
ac-2.7,AC-2(7),AC,Privileged user accounts,NIST SP 800-53 Rev. 5.2.0,control,,"a. Establish and administer privileged user accounts in accordance with [Selection (1): a role-based access scheme; an attribute-based access scheme]
b. Monitor privileged role or attribute assignments
c. Monitor changes to roles or attributes
d. Revoke access when privileged role or attribute assignments are no longer appropriate",,,
ac-2.10,AC-2(10),AC,Shared and Group Account Credential Change,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ac-2.13,AC-2(13),AC,Disable accounts for high-risk individuals,NIST SP 800-53 Rev. 5.2.0,control,,Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].,,,
